pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
8r4n	H	L	0	N	protein	NA	short neurotoxin 1	ANTITOXIN	05/28/25	Crystal structure of neutralizing Fab Eq4.Dp46-3A from equine antivenom bound to short chain three finger alpha-neurotoxin from Dendroaspis polylepis.	Dendroaspis polylepis; Equus caballus	equus caballus	equus caballus	dendroaspis polylepis	Wibmer, C.K.	2.2	X-RAY DIFFRACTION	0.228	0.206	False	True	unknown	unknown	unknown	None	None	None	None	None
8uki	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/16/25	Crystal structure of 04_A06 Fab	Homo sapiens	homo sapiens	homo sapiens		DeLaitsch, A.T., Gristick, H.B., Bjorkman, P.J.	1.75	X-RAY DIFFRACTION	0.205	0.170	False	True	unknown	unknown	unknown	None	None	None	None	None
8d3a	H	L	0	G	carbohydrate	MAN	ALPHA-D-MANNOSE	IMMUNE SYSTEM/ANTIGEN	10/12/22	Crystal Structure of DH475 Fab in complex with Man9	Homo sapiens	homo sapiens	homo sapiens		Finkelstein, M., Fera, D.	2.9	X-RAY DIFFRACTION	0.272	0.229	False	True	IGHV3	IGLV4	Lambda	None	None	None	None	None
4imk	B	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/03/13	Uncrossed Fab binding to human Angiopoietin 2	HOMO SAPIENS	homo sapiens	homo sapiens		Fenn, S., Schiller, C., Griese, J.J., Hopfner, K.-P., Kettenberger, H.	2.202	X-RAY DIFFRACTION	0.226	0.199	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
4imk	A	D	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/03/13	Uncrossed Fab binding to human Angiopoietin 2	HOMO SAPIENS	homo sapiens	homo sapiens		Fenn, S., Schiller, C., Griese, J.J., Hopfner, K.-P., Kettenberger, H.	2.202	X-RAY DIFFRACTION	0.226	0.199	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
1u8p	B	A	0	C	peptide	NA	gp41 peptide	IMMUNE SYSTEM	08/06/04	Crystal structure of the HIV-1 Cross Neutralizing Monoclonal Antibody 2F5 in complex with gp41 Peptide ECDKWCS	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Bryson, S., Julien, J.-P., Hynes, R.C., Pai, E.F.	3.23	X-RAY DIFFRACTION	0.222	0.212	False	False	IGHV2	IGKV1	Kappa	None	None	None	None	None
3hzm	B	A	0	B	carbohydrate	KDO	3-DEOXY-D-MANNO-OCT-2-ULOSONIC ACID	IMMUNE SYSTEM	06/23/09	Crystal structure of S73-2 antibody in complex with antigen Kdo	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Brooks, C.L., Muller-Loennies, S., Borisova, S.N., Brade, L., Kosma, P., Hirama, T., MacKenzie, C.R., Brade, H., Evans, S.V.	1.8	X-RAY DIFFRACTION	0.249	0.207	False	False	IGHV7	IGKV8	Kappa	None	None	None	None	None
6mts	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/21/18	Crystal structure of VRC43.03 Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Kwon, Y.D., Druz, A., Law, W.H., Peng, D., Doria-Rose, N.A., Kwong, P.D.	2.437	X-RAY DIFFRACTION	0.268	0.242	False	True	IGHV4	IGLV7	Lambda	None	None	None	None	None
6xq0	B	C	0	A	protein	NA	hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	07/09/20	Human antibody S8V2-18 in complex with the influenza hemagglutinin head domain of A/California/7/2009(NYMC-X181)(H1N1)	INFLUENZA A VIRUS (A/REASSORTANT/NYMC X-181A(A/NYMC X-157 X CALIFORNIA/07/2009)(H1N1)); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (a/reassortant/nymc x-181a(a/nymc x-157 x california/07/2009)(h1n1)) 	McCarthy, K.R., Harrison, S.C.	2.3	X-RAY DIFFRACTION	0.268	0.222	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
6xq0	E	F	0	D	protein	NA	hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	07/09/20	Human antibody S8V2-18 in complex with the influenza hemagglutinin head domain of A/California/7/2009(NYMC-X181)(H1N1)	INFLUENZA A VIRUS (A/REASSORTANT/NYMC X-181A(A/NYMC X-157 X CALIFORNIA/07/2009)(H1N1)); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (a/reassortant/nymc x-181a(a/nymc x-157 x california/07/2009)(h1n1)) 	McCarthy, K.R., Harrison, S.C.	2.3	X-RAY DIFFRACTION	0.268	0.222	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
1f58	H	L	0	P	peptide	NA	protein (exterior membrane glycoprotein(gp120))	Viral protein/Immune system	10/21/98	IGG1 FAB FRAGMENT (58.2) COMPLEX WITH 24-RESIDUE PEPTIDE (RESIDUES 308-333 OF HIV-1 GP120 (MN ISOLATE) WITH ALA TO AIB SUBSTITUTION AT POSITION 323	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Stanfield, R.L., Cabezas, E., Satterthwait, A.C., Stura, E.A., Profy, A.T., Wilson, I.A.	2.0	X-RAY DIFFRACTION	0.256	0.196	False	False	IGHV3	IGKV3	Kappa	None	None	None	None	None
6xm2	F	E	0	I	protein	NA	transforming growth factor beta-2	CYTOKINE/IMMUNE SYSTEM	06/29/20	The structure of the 4A11.v7 antibody in complex with human TGFb2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lupardus, P.J., Yin, J.P.	1.91	X-RAY DIFFRACTION	0.244	0.205	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
6xm2	D	C	0	J	protein	NA	transforming growth factor beta-2	CYTOKINE/IMMUNE SYSTEM	06/29/20	The structure of the 4A11.v7 antibody in complex with human TGFb2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lupardus, P.J., Yin, J.P.	1.91	X-RAY DIFFRACTION	0.244	0.205	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
6xm2	H	G	0	K	protein	NA	transforming growth factor beta-2	CYTOKINE/IMMUNE SYSTEM	06/29/20	The structure of the 4A11.v7 antibody in complex with human TGFb2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lupardus, P.J., Yin, J.P.	1.91	X-RAY DIFFRACTION	0.244	0.205	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
6xm2	B	A	0	L	protein	NA	transforming growth factor beta-2	CYTOKINE/IMMUNE SYSTEM	06/29/20	The structure of the 4A11.v7 antibody in complex with human TGFb2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lupardus, P.J., Yin, J.P.	1.91	X-RAY DIFFRACTION	0.244	0.205	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
3bae	H	L	0	A	peptide	NA	amyloid beta peptide	IMMUNE SYSTEM	11/07/07	Crystal structure of Fab WO2 bound to the N terminal domain of Amyloid beta peptide (1-28)	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Miles, L.A., Wun, K.S., Crespi, G.A., Parker, M.W.	1.593	X-RAY DIFFRACTION	0.250	0.207	False	False	IGHV8	IGKV1	Kappa	None	None	None	None	None
4j4p	H	L	0	A	protein	NA	ig epsilon chain c region	IMMUNE SYSTEM	02/07/13	The complex of human IgE-Fc with two bound Fab fragments	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Drinkwater, N., Sutton, B.J.	2.91	X-RAY DIFFRACTION	0.284	0.236	False	True	IGHV6	IGLV1	Lambda	None	None	None	None	None
4j4p	C	D	0	B	protein	NA	ig epsilon chain c region	IMMUNE SYSTEM	02/07/13	The complex of human IgE-Fc with two bound Fab fragments	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Drinkwater, N., Sutton, B.J.	2.91	X-RAY DIFFRACTION	0.284	0.236	False	True	IGHV6	IGLV1	Lambda	None	None	None	None	None
6wmw	H	L	0	B	protein	NA	gdnf family receptor alpha-like	IMMUNE SYSTEM	04/21/20	GFRAL receptor bound with two antibody Fabs (3P10, 25M22)	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	White, A., Lakshminarasimhan, D., Olland, A., Suto, R.K.	2.91	X-RAY DIFFRACTION	0.290	0.222	False	True	IGHV9	IGKV3	Kappa	None	None	None	None	None
6wmw	M	N	0	B	protein	NA	gdnf family receptor alpha-like	IMMUNE SYSTEM	04/21/20	GFRAL receptor bound with two antibody Fabs (3P10, 25M22)	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	White, A., Lakshminarasimhan, D., Olland, A., Suto, R.K.	2.91	X-RAY DIFFRACTION	0.290	0.222	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
4nrz	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/27/13	Crystal Structure of HIV-1 Neutralizing Antibody m66.6	HOMO SAPIENS	homo sapiens	homo sapiens		Ofek, G., Yang, Y., Kwong, P.D.	2.42	X-RAY DIFFRACTION	0.216	0.177	False	True	IGHV5	IGKV1	Kappa	None	None	None	None	None
4nrz	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/27/13	Crystal Structure of HIV-1 Neutralizing Antibody m66.6	HOMO SAPIENS	homo sapiens	homo sapiens		Ofek, G., Yang, Y., Kwong, P.D.	2.42	X-RAY DIFFRACTION	0.216	0.177	False	True	IGHV5	IGKV1	Kappa	None	None	None	None	None
4oaw	D	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/06/14	Fab structure of anti-HIV gp120 V2 mAb 2158	HOMO SAPIENS	homo sapiens	homo sapiens		Spurrier, B.R., Kong, X.P.	2.8	X-RAY DIFFRACTION	0.254	0.182	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
4oaw	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/06/14	Fab structure of anti-HIV gp120 V2 mAb 2158	HOMO SAPIENS	homo sapiens	homo sapiens		Spurrier, B.R., Kong, X.P.	2.8	X-RAY DIFFRACTION	0.254	0.182	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
9bjg	H	L	0	A	protein	NA	apical membrane antigen 1	STRUCTURAL PROTEIN	03/12/25	Crystal structure of broadly neutralizing human monoclonal antibody 75B10 in complex with AMA1	Homo sapiens; Plasmodium falciparum 3D7	homo sapiens	homo sapiens	plasmodium falciparum 3d7	Patel, P.N., Tang, W.K., Tolia, N.H.	2.9	X-RAY DIFFRACTION	0.232	0.199	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
8g8d	H	L	0	P	peptide	NA	gp41 mper peptide	IMMUNE SYSTEM	05/22/24	Crystal structure of DH1346 Fab in complex with HIV proximal MPER peptide	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Niyongabo, A., Janus, B.M., Ofek, G.	2.02	X-RAY DIFFRACTION	0.234	0.198	False	True	IGHV7	IGLV3	Lambda	None	None	None	None	None
8g8d	A	B	0	C	peptide	NA	gp41 mper peptide	IMMUNE SYSTEM	05/22/24	Crystal structure of DH1346 Fab in complex with HIV proximal MPER peptide	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Niyongabo, A., Janus, B.M., Ofek, G.	2.02	X-RAY DIFFRACTION	0.234	0.198	False	True	IGHV7	IGLV3	Lambda	None	None	None	None	None
8d01	H	L	0	NA	NA	NA	NA	VIRAL PROTEIN/IMMUNE SYSTEM	12/13/23	The domain-swaped dimer of the HIV-1 CD4bs targeting antibody 21N13	Macaca mulatta	macaca mulatta	macaca mulatta		Xian, Y., Wilson, A.	2.46	X-RAY DIFFRACTION	0.229	0.189	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8d01	A	B	0	NA	NA	NA	NA	VIRAL PROTEIN/IMMUNE SYSTEM	12/13/23	The domain-swaped dimer of the HIV-1 CD4bs targeting antibody 21N13	Macaca mulatta	macaca mulatta	macaca mulatta		Xian, Y., Wilson, A.	2.46	X-RAY DIFFRACTION	0.229	0.189	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8gpk	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/08/09	Crystal structure of human anti-HIV-1 broadly neutralizing antibody F6 Fab	Homo sapiens	homo sapiens	homo sapiens		Niu, J., Yang, B.	3.34	X-RAY DIFFRACTION	0.281	0.242	False	True	IGHV4	IGKV2	Kappa	None	None	None	None	None
8gpk	C	D	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/08/09	Crystal structure of human anti-HIV-1 broadly neutralizing antibody F6 Fab	Homo sapiens	homo sapiens	homo sapiens		Niu, J., Yang, B.	3.34	X-RAY DIFFRACTION	0.281	0.242	False	True	IGHV4	IGKV2	Kappa	None	None	None	None	None
7ox1	A	B	0	G	protein	NA	interleukin-9	CYTOKINE	12/28/22	Fab 7D6: hIL-9 complex	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	De Vos, T., Savvides, S.N.	2.49	X-RAY DIFFRACTION	0.262	0.209	False	True	IGHV4	IGLV8	Lambda	None	None	None	None	None
7ox1	C	D	0	Z	protein	NA	interleukin-9	CYTOKINE	12/28/22	Fab 7D6: hIL-9 complex	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	De Vos, T., Savvides, S.N.	2.49	X-RAY DIFFRACTION	0.262	0.209	False	True	IGHV4	IGLV8	Lambda	None	None	None	None	None
7ox1	E	F	0	Y	protein	NA	interleukin-9	CYTOKINE	12/28/22	Fab 7D6: hIL-9 complex	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	De Vos, T., Savvides, S.N.	2.49	X-RAY DIFFRACTION	0.262	0.209	False	True	IGHV4	IGLV8	Lambda	None	None	None	None	None
7ox1	H	L	0	X	protein	NA	interleukin-9	CYTOKINE	12/28/22	Fab 7D6: hIL-9 complex	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	De Vos, T., Savvides, S.N.	2.49	X-RAY DIFFRACTION	0.262	0.209	False	True	IGHV4	IGLV8	Lambda	None	None	None	None	None
7s07	X	Y	0	A | B	protein | protein	NA | NA	envelope glycoprotein h | envelope glycoprotein l	IMMUNE SYSTEM/VIRAL PROTEIN	11/09/22	Crystal structure of Epstein-Barr virus glycoprotein gH/gL/gp42-peptide in complex with human neutralizing antibodies 769B10 and 769C2	Homo sapiens; Human gammaherpesvirus 4	homo sapiens	homo sapiens	human gammaherpesvirus 4 | human gammaherpesvirus 4	Chen, W.-H., Kanekiyo, M., Cohen, J.I., Joyce, M.G.	3.29	X-RAY DIFFRACTION	0.291	0.243	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
7s07	H	L	0	A	protein	NA	envelope glycoprotein h	IMMUNE SYSTEM/VIRAL PROTEIN	11/09/22	Crystal structure of Epstein-Barr virus glycoprotein gH/gL/gp42-peptide in complex with human neutralizing antibodies 769B10 and 769C2	Homo sapiens; Human gammaherpesvirus 4	homo sapiens	homo sapiens	human gammaherpesvirus 4	Chen, W.-H., Kanekiyo, M., Cohen, J.I., Joyce, M.G.	3.29	X-RAY DIFFRACTION	0.291	0.243	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7myt	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/09/22	Crystal Structure of HPV L1-directed B25.M05 Fab	Homo sapiens	homo sapiens	homo sapiens		Singh, S., Pancera, M.	2.1	X-RAY DIFFRACTION	0.223	0.173	False	True	IGHV4	IGLV2	Lambda	None	None	None	None	None
7myt	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/09/22	Crystal Structure of HPV L1-directed B25.M05 Fab	Homo sapiens	homo sapiens	homo sapiens		Singh, S., Pancera, M.	2.1	X-RAY DIFFRACTION	0.223	0.173	False	True	IGHV4	IGLV2	Lambda	None	None	None	None	None
6wj1	J	K	0	D | C	protein | protein	NA | NA	hemagglutinin ha2 chain | hemagglutinin ha1 chain	IMMUNE SYSTEM	04/11/20	Crystal structure of Fab 54-4H03 bound to H1 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Wu, N.C., Wilson, I.A.	3.503	X-RAY DIFFRACTION	0.232	0.179	False	True	IGHV6	IGKV3	Kappa	None	None	None	None	None
6wj1	G	I	0	B | A	protein | protein	NA | NA	hemagglutinin ha2 chain | hemagglutinin ha1 chain	IMMUNE SYSTEM	04/11/20	Crystal structure of Fab 54-4H03 bound to H1 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Wu, N.C., Wilson, I.A.	3.503	X-RAY DIFFRACTION	0.232	0.179	False	True	IGHV6	IGKV3	Kappa	None	None	None	None	None
6wj1	H	L	0	F | E	protein | protein	NA | NA	hemagglutinin ha2 chain | hemagglutinin ha1 chain	IMMUNE SYSTEM	04/11/20	Crystal structure of Fab 54-4H03 bound to H1 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Wu, N.C., Wilson, I.A.	3.503	X-RAY DIFFRACTION	0.232	0.179	False	True	IGHV6	IGKV3	Kappa	None	None	None	None	None
2b1h	H	L	0	P	peptide	NA	ug29 peptide of exterior membrane glycoprotein gp120	IMMMUNE SYSTEM	09/15/05	Crystal structure analysis of anti-HIV-1 V3 Fab 2219 in complex with UG29 peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Stanfield, R.L., Gorny, M.K., Zolla-Pazner, S., Wilson, I.A.	2.0	X-RAY DIFFRACTION	0.238	0.205	False	False	IGHV5	IGLV1	Lambda	None	None	None	None	None
5tqa	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/23/16	Crystal Structure of DH270.6 (unliganded) from the DH270 Broadly Neutralizing N332-Glycan Dependent Lineage	HOMO SAPIENS	homo sapiens	homo sapiens		Fera, D., Harrison, S.C.	2.723	X-RAY DIFFRACTION	0.201	0.185	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
5tqa	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/23/16	Crystal Structure of DH270.6 (unliganded) from the DH270 Broadly Neutralizing N332-Glycan Dependent Lineage	HOMO SAPIENS	homo sapiens	homo sapiens		Fera, D., Harrison, S.C.	2.723	X-RAY DIFFRACTION	0.201	0.185	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
6id4	H	L	0	A | B	protein | protein	NA | NA	mhc class i antigen | beta-2-microglobulin	IMMUNE SYSTEM	09/08/18	Defining the structural basis for human alloantibody binding to human leukocyte antigen allele HLA-A*11:01	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens | homo sapiens	Lescar, J., Wong, Y.H., Liew, C.W., Gu, Y., MacAry, P.A.	2.4	X-RAY DIFFRACTION	0.246	0.197	False	True	IGHV1	IGLV5	Lambda	None	None	None	None	None
6id4	C	D	0	E | F	protein | protein	NA | NA	mhc class i antigen | beta-2-microglobulin	IMMUNE SYSTEM	09/08/18	Defining the structural basis for human alloantibody binding to human leukocyte antigen allele HLA-A*11:01	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens | homo sapiens	Lescar, J., Wong, Y.H., Liew, C.W., Gu, Y., MacAry, P.A.	2.4	X-RAY DIFFRACTION	0.246	0.197	False	True	IGHV1	IGLV5	Lambda	None	None	None	None	None
1g9m	H	L	0	G	protein	NA	envelope glycoprotein gp120	Viral protein/Immune system	11/24/00	HIV-1 HXBC2 GP120 ENVELOPE GLYCOPROTEIN COMPLEXED WITH CD4 AND INDUCED NEUTRALIZING ANTIBODY 17B	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Kwong, P.D., Wyatt, R., Majeed, S., Robinson, J., Sweet, R.W., Sodroski, J., Hendrickson, W.A.	2.2	X-RAY DIFFRACTION	0.330	0.268	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
5gru	L	L	0	A	protein	NA	maltose-binding periplasmic protein	IMMUNE SYSTEM	08/12/16	Structure of mono-specific diabody	ESCHERICHIA COLI; MUS MUSCULUS; HOMO SAPIENS	mus musculus		escherichia coli	Kim, J.H., Song, D.H., Youn, S.J., Cho, G., Lee, H., Lee, J.O.	1.955	X-RAY DIFFRACTION	0.237	0.197	True	True	unknown	unknown	unknown	None	None	None	None	None
5gru	H	H	0	A	protein	NA	maltose-binding periplasmic protein	IMMUNE SYSTEM	08/12/16	Structure of mono-specific diabody	ESCHERICHIA COLI; MUS MUSCULUS; HOMO SAPIENS	homo sapiens		escherichia coli	Kim, J.H., Song, D.H., Youn, S.J., Cho, G., Lee, H., Lee, J.O.	1.955	X-RAY DIFFRACTION	0.237	0.197	True	True	unknown	unknown	unknown	None	None	None	None	None
8vdl	H	L	0	C	protein	NA	hb3var03 cidra1.4 domain	IMMUNE SYSTEM	10/09/24	HB3VAR03 CIDRa1.4 domain with C7 Fab	Homo sapiens; Plasmodium falciparum HB3	homo sapiens	homo sapiens	plasmodium falciparum hb3	Hurlburt, N.K., Pancera, M.	2.68	X-RAY DIFFRACTION	0.266	0.217	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
3qa3	B	A	0	E	protein	NA	integrin alpha-m	IMMUNE SYSTEM/ cell adhesion	01/10/11	Crystal Structure of A-domain in complex with antibody	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Mahalingam, B., Xiong, J.P., Arnaout, M.A.	3.0	X-RAY DIFFRACTION	0.224	0.194	False	False	IGHV14	IGKV8	Kappa	None	None	None	None	None
3qa3	D	C	0	G	protein	NA	integrin alpha-m	IMMUNE SYSTEM/ cell adhesion	01/10/11	Crystal Structure of A-domain in complex with antibody	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Mahalingam, B., Xiong, J.P., Arnaout, M.A.	3.0	X-RAY DIFFRACTION	0.224	0.194	False	False	IGHV14	IGKV8	Kappa	None	None	None	None	None
3qa3	K	J	0	L	protein	NA	integrin alpha-m	IMMUNE SYSTEM/ cell adhesion	01/10/11	Crystal Structure of A-domain in complex with antibody	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Mahalingam, B., Xiong, J.P., Arnaout, M.A.	3.0	X-RAY DIFFRACTION	0.224	0.194	False	False	IGHV14	IGKV8	Kappa	None	None	None	None	None
3qa3	H	F	0	I	protein	NA	integrin alpha-m	IMMUNE SYSTEM/ cell adhesion	01/10/11	Crystal Structure of A-domain in complex with antibody	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Mahalingam, B., Xiong, J.P., Arnaout, M.A.	3.0	X-RAY DIFFRACTION	0.224	0.194	False	False	IGHV14	IGKV8	Kappa	None	None	None	None	None
2ai0	K	O	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/28/05	Anti-Cocaine Antibody 7.5.21, Crystal Form III	MUS MUSCULUS	mus musculus	mus musculus		Pozharski, E., Hewagama, A., Shanafelt, A., Ringe, D., Petsko, G.A.	2.2	X-RAY DIFFRACTION	0.279	0.222	False	False	IGHV5	IGKV1	Kappa	None	None	None	None	None
2ai0	I	M	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/28/05	Anti-Cocaine Antibody 7.5.21, Crystal Form III	MUS MUSCULUS	mus musculus	mus musculus		Pozharski, E., Hewagama, A., Shanafelt, A., Ringe, D., Petsko, G.A.	2.2	X-RAY DIFFRACTION	0.279	0.222	False	False	IGHV5	IGKV1	Kappa	None	None	None	None	None
2ai0	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/28/05	Anti-Cocaine Antibody 7.5.21, Crystal Form III	MUS MUSCULUS	mus musculus	mus musculus		Pozharski, E., Hewagama, A., Shanafelt, A., Ringe, D., Petsko, G.A.	2.2	X-RAY DIFFRACTION	0.279	0.222	False	False	IGHV5	IGKV1	Kappa	None	None	None	None	None
2ai0	J	N	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/28/05	Anti-Cocaine Antibody 7.5.21, Crystal Form III	MUS MUSCULUS	mus musculus	mus musculus		Pozharski, E., Hewagama, A., Shanafelt, A., Ringe, D., Petsko, G.A.	2.2	X-RAY DIFFRACTION	0.279	0.222	False	False	IGHV5	IGKV1	Kappa	None	None	None	None	None
5x2o	J	K	0	C | D	protein | protein	NA | NA	taste receptor, type 1, member 2a | taste receptor, type 1, member 3	SIGNALING PROTEIN/IMMUNE SYSTEM	02/02/17	Crystal structure of the medaka fish taste receptor T1r2a-T1r3 ligand binding domains in complex with L-arginine	ORYZIAS LATIPES; MUS MUSCULUS	mus musculus	mus musculus	oryzias latipes | oryzias latipes	Nuemket, N., Yasui, N., Atsumi, N., Yamashita, A.	2.6	X-RAY DIFFRACTION	0.272	0.185	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
5x2o	H	L	0	A	protein	NA	taste receptor, type 1, member 2a	SIGNALING PROTEIN/IMMUNE SYSTEM	02/02/17	Crystal structure of the medaka fish taste receptor T1r2a-T1r3 ligand binding domains in complex with L-arginine	ORYZIAS LATIPES; MUS MUSCULUS	mus musculus	mus musculus	oryzias latipes	Nuemket, N., Yasui, N., Atsumi, N., Yamashita, A.	2.6	X-RAY DIFFRACTION	0.272	0.185	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7tp3	H	L	0	Z	protein	NA	spike protein s1	IMMUNE SYSTEM	01/24/22	Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing antibody K288.2	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MACACA MULATTA	macaca mulatta	macaca mulatta	severe acute respiratory syndrome coronavirus2 	Yuan, M., Zhu, X., Wilson, I.A.	2.33	X-RAY DIFFRACTION	0.231	0.185	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
6snc	B	A	0	C	peptide	NA	envelope glycoprotein gp160	IMMUNE SYSTEM	08/23/19	crystal structure of LN01 Fab in complex with an HIV-1 gp41 peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Caillat, C., Pinto, D., Corti, D., Fenwick, C., Pantaleo, G., Weissenhorn, W.	3.2	X-RAY DIFFRACTION	0.254	0.213	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
6snc	H	L	0	P	peptide	NA	envelope glycoprotein gp160	IMMUNE SYSTEM	08/23/19	crystal structure of LN01 Fab in complex with an HIV-1 gp41 peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Caillat, C., Pinto, D., Corti, D., Fenwick, C., Pantaleo, G., Weissenhorn, W.	3.2	X-RAY DIFFRACTION	0.254	0.213	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
7rdm	B	A	0	C	carbohydrate	NAG	N-ACETYL-D-GLUCOSAMINE	IMMUNE SYSTEM	07/09/21	Crystal structure of PCDN-38B, a broadly neutralizing anti-HIV antibody	HOMO SAPIENS	homo sapiens	homo sapiens		Omorodion, O., Wilson, I.A.	2.08	X-RAY DIFFRACTION	0.219	0.191	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
